"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",0,"warmup",20,4,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",1,"warmup",60,4,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",2,"warmup",80,3,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",3,"failure",110,2,,,8.5
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",4,"failure",90,5,,,9
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Romanian Deadlift (Barbell)",,"Good",0,"warmup",60,6,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Romanian Deadlift (Barbell)",,"Good",1,"warmup",100,4,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Romanian Deadlift (Barbell)",,"Good",2,"failure",150,3,,,9
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Romanian Deadlift (Barbell)",,"Good",3,"failure",130,6,,,10
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Standing Calf Raise (Smith)",,"",0,"warmup",40,6,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Standing Calf Raise (Smith)",,"",1,"failure",120,10,,,9.5
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Standing Calf Raise (Smith)",,"",2,"failure",120,8,,,9
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Leg Extension (Machine)",,"Single leg",0,"failure",40,8,,,
